Number,GivenName,Surname,Birthday,StreetAddress,NameSet,EmailAddress,TelephoneNumber,Kilograms,CCType,CCNumber,CVV2,CCExpires,Vehicle
34,Claudia,Osterhagen,8/1/1972,"Nuernbergerstrasse 60",German,ClaudiaOsterhagen@fleckens.hu,"04435 57 11 64",60.8,Visa,4532065730313675,800,10/2017,"1994 Opel Calibra"
24,Luce,Lampron,10/17/2001,"88 avenue de Provence",French,LuceLampron@superrito.com,04.78.48.78.37,53.4,Visa,4916157648877044,637,1/2020,"1996 Fiat Siena"
38,Birgit,Freeh,12/19/1992,"Mohrenstrasse 66",German,BirgitFreeh@dayrep.com,"07371 49 88 32",78.8,Visa,4539348061660390,846,1/2017,"1992 Volkswagen Passat"
29,Russell,Hébert,6/18/1974,"30 rue Léon Dierx",French,RussellHebert@cuvox.de,01.83.51.63.54,86.5,Visa,4916072512466784,719,6/2018,"1998 Volvo V70"
39,Sarah,Blau,7/7/1974,"Luckenwalder Strasse 82",German,SarahBlau@armyspy.com,"05066 95 66 50",98.2,Visa,4556222575132766,391,8/2018,"2009 Ford F-350"
30,Fusberta,Monty,6/29/1997,"76 boulevard Amiral Courbet",French,FusbertaMonty@gustr.com,02.43.21.95.93,83.7,MasterCard,5580495306544312,451,11/2019,"2002 Cadillac Eldorado"
42,Max,Schultz,7/26/1948,"Bleibtreustraße 75",German,MaxSchultz@einrot.com,"07824 13 10 87",106.8,Visa,4716887459344062,940,8/2020,"2015 Hyundai Genesis"
31,Brier,Chouinard,6/23/1964,"98 rue de Penthièvre",French,BrierChouinard@armyspy.com,02.65.06.49.95,91.8,Visa,4532701920313675,715,3/2017,"2003 Rover 45"
44,Thorsten,Eisenberg,5/31/1990,"Schaarsteinweg 49",German,ThorstenEisenberg@teleworm.us,"09441 75 89 44",70.5,MasterCard,5461865395722348,976,9/2019,"2003 Bentley Continental GT"
32,Sophie,Mothé,7/16/1977,"32 rue Gouin de Beauchesne",French,SophieMothe@jourrapide.com,02.05.20.98.64,101.3,MasterCard,5120497248704993,859,5/2020,"2001 Oldsmobile Bravada"
45,Dirk,Schwab,9/23/1965,"Hallesches Ufer 78",German,DirkSchwab@teleworm.us,"07033 70 46 15",75.1,MasterCard,5185625071189146,014,5/2019,"2014 Cadillac Escalade"
37,Medoro,Lafond,1/30/1939,"73 rue du Clair Bocage",French,MedoroLafond@cuvox.de,02.03.62.39.84,84.5,MasterCard,5276372237429773,107,5/2020,"1996 Chevrolet Malibu"
46,Christina,Reinhard,6/1/1963,"Neuer Jungfernstieg 12",German,ChristinaReinhard@armyspy.com,"08723 43 76 24",67.0,Visa,4916037875846526,343,8/2019,"2005 Aston Martin V8 Vantage"
38,Octave,Goguen,7/12/1974,"94 rue Jean Vilar",French,OctaveGoguen@dayrep.com,03.35.30.20.05,69.9,Visa,4716583600638797,492,12/2020,"1999 Opel Signum"
48,Julia,Eisenhower,6/26/1972,"Invalidenstrasse 68",German,JuliaEisenhower@dayrep.com,"06321 20 12 63",89.5,Visa,4916007136570785,117,3/2017,"2000 Chrysler Concorde"
41,Lyle,Petrie,5/11/1958,"74 Rue Roussy",French,LylePetrie@rhyta.com,04.48.27.73.20,87.4,MasterCard,5243916547169998,788,6/2019,"2001 Opel Signum"
49,Monika,Finkel,7/1/1973,"Michaelkirchstr. 62",German,MonikaFinkel@superrito.com,"05721 36 16 05",78.3,MasterCard,5311722428820403,787,5/2020,"2001 Toyota BB"
45,Aubert,Grignon,7/26/1940,"66 rue Descartes",French,AubertGrignon@gustr.com,03.03.67.54.57,61.9,MasterCard,5286294194960087,554,3/2020,"2005 Ford Ka"
51,Karin,Reinhardt,2/28/1958,"Hermannstrasse 59",German,KarinReinhardt@jourrapide.com,"06249 63 18 69",63.9,MasterCard,5267722098442748,034,6/2017,"2009 Saturn Sky"
46,Lotye,Goudreau,7/5/1977,"61 Quai des Belges",French,LotyeGoudreau@dayrep.com,04.97.93.50.27,76.4,MasterCard,5188094839080823,185,2/2019,"1999 Daewoo Prince"
52,Simone,Aachen,10/10/1991,"Ufnau Strasse 37",German,SimoneAachen@cuvox.de,"08337 38 67 25",78.7,MasterCard,5146996776433792,937,4/2021,"2004 Mercedes-Benz C"
50,Hardouin,Michel,1/27/1933,"72 rue du Président Roosevelt",French,HardouinMichel@teleworm.us,01.34.79.60.65,99.9,MasterCard,5451986240731011,800,8/2017,"2004 TVR Tuscan"
54,Leah,Waechter,4/6/1994,"Grosse Praesidenten Str. 74",German,LeahWaechter@cuvox.de,"06301 18 81 11",94.4,Visa,4539752414847341,133,5/2021,"1995 Toyota Carina"
55,Léon,Briard,12/23/1937,"52 rue Bonneterie",French,LeonBriard@rhyta.com,04.87.49.58.38,96.0,Visa,4532812512460210,286,4/2018,"2003 Dodge Dakota"
55,Sandra,Sankt,10/17/1998,"Boxhagener Str. 9",German,SandraSankt@einrot.com,"040 24 12 41",45.2,MasterCard,5233009383582292,920,8/2020,"2001 Pontiac Firebird"
57,Clovis,Veilleux,6/21/1972,"75 rue Ernest Renan",French,ClovisVeilleux@fleckens.hu,02.58.96.93.91,94.0,MasterCard,5156516210074429,383,4/2021,"1998 Acura TL"
57,Florian,Sommer,7/12/1964,"Borstelmannsweg 77",German,FlorianSommer@armyspy.com,"09561 59 27 09",98.8,Visa,4916640196085276,736,1/2017,"2008 Toyota Yaris"
60,Anastasie,Doyon,11/10/1959,"70 Chemin Des Bateliers",French,AnastasieDoyon@jourrapide.com,05.72.19.95.78,82.6,Visa,4716755514768874,598,8/2019,"2003 Skoda Superb"
60,Michelle,Hahn,7/20/1989,"Anhalter Strasse 11",German,MichelleHahn@jourrapide.com,"06373 47 35 14",84.7,Visa,4485781251219490,637,4/2017,"2005 Jaguar XJR"
62,Laure,Fluet,8/9/1990,"84 rue de Penthièvre",French,LaureFluet@teleworm.us,03.40.77.38.89,63.8,MasterCard,5447574739331985,371,4/2018,"2001 Jaguar XJ8"
63,Anke,Eichelberger,9/26/1974,"Michaelkirchstr. 11",German,AnkeEichelberger@teleworm.us,"05721 26 12 12",100.8,Visa,4539785508076500,088,12/2021,"1992 Porsche 928"
64,Camille,Desruisseaux,7/13/1961,"78 rue des Coudriers",French,CamilleDesruisseaux@dayrep.com,05.27.29.53.07,60.4,MasterCard,5112633787960469,891,2/2019,"2001 Peugeot 106"
72,Birgit,Fuchs,11/23/1958,"Marseiller Strasse 70",German,BirgitFuchs@rhyta.com,"08861 94 56 87",93.9,MasterCard,5284334394317431,155,12/2018,"1997 Bentley Brooklands"
67,Alexis,Pelchat,8/9/1956,"25 rue La Boétie",French,AlexisPelchat@cuvox.de,01.00.02.86.72,80.6,Visa,4532223147450743,994,5/2018,"1998 Citroen ZX"
74,Felix,Osterhagen,5/31/1963,"Knesebeckstrasse 37",German,FelixOsterhagen@fleckens.hu,"02689 54 47 99",101.5,MasterCard,5180952778184187,298,6/2019,"2005 Infiniti G35"
73,Robert,Nadeau,4/1/1987,"70 rue Sadi Carnot",French,RobertNadeau@fleckens.hu,04.32.43.88.06,109.8,MasterCard,5286049245540530,722,8/2020,"2005 Toyota Allion"
75,Martina,Pfaff,7/18/1993,"Hans-Grade-Allee 83",German,MartinaPfaff@cuvox.de,"04554 49 45 04",99.6,MasterCard,5454586904540505,338,10/2019,"2001 Renault Avantime"
75,Benoît,Rouze,3/20/1996,"67 rue Banaudon",French,BenoitRouze@cuvox.de,04.39.85.84.88,63.2,MasterCard,5358779337673558,802,8/2021,"2007 Volkswagen Kombi"
78,Mario,Hirsch,7/16/1974,"Rudower Chaussee 16",German,MarioHirsch@dayrep.com,"02045 23 05 88",100.0,MasterCard,5256190987030375,015,9/2018,"2005 Citroen C4"
80,Julien,Majory,2/3/1952,"53 rue Bonneterie",French,JulienMajory@jourrapide.com,03.87.64.81.67,88.3,MasterCard,5228868454415311,635,7/2018,"1992 Mazda 626"
80,Julia,Lemann,9/30/1930,"Luckenwalder Strasse 1",German,JuliaLemann@fleckens.hu,"04975 13 30 51",86.6,MasterCard,5428820363257415,634,12/2020,"2008 Subaru B9 Tribeca"
90,Villette,Lemieux,1/8/1944,"35 Chemin Des Bateliers",French,VilletteLemieux@armyspy.com,05.86.49.47.45,58.2,MasterCard,5394134411954878,035,4/2017,"2010 Ford Falcon"
82,Stephan,Gaertner,6/19/1965,"Jenaer Strasse 65",German,StephanGaertner@rhyta.com,"0201 28 09 34",109.3,MasterCard,5338047239264263,959,1/2018,"1999 Panoz Esperante"
91,Merlin,Massé,5/26/1960,"65 rue du Président Roosevelt",French,MerlinMasse@einrot.com,02.38.37.90.41,86.5,Visa,4929109233184836,438,11/2020,"2011 Fiat 500"
84,Jonas,Jager,11/22/1994,"Eichendorffstr. 37",German,JonasJager@armyspy.com,"07502 47 04 60",73.6,MasterCard,5443457177243553,086,9/2018,"2001 Isuzu ZXS"
92,Fayme,Sorel,2/21/1955,"81 Square de la Couronne",French,FaymeSorel@teleworm.us,01.63.48.70.17,59.1,Visa,4916704153873379,301,11/2021,"2009 Infiniti M"
89,Markus,Pfaff,9/13/1930,"Eichendorffstr. 64",German,MarkusPfaff@gustr.com,"07505 33 78 00",91.1,MasterCard,5494381606395388,032,2/2018,"2008 Mitsubishi Lancer"
94,Alaine,Boisclair,11/25/1995,"64 rue Gontier-Patin",French,AlaineBoisclair@einrot.com,04.81.31.18.95,88.3,Visa,4916145879543351,339,11/2017,"2012 Chevrolet Impala"
93,Ute,Glockner,9/20/1947,"Alter Wall 77",German,UteGlockner@armyspy.com,"09358 46 42 73",99.2,MasterCard,5509942284577945,867,11/2019,"2001 Subaru Forester"
95,Hardouin,Rouze,9/7/1969,"37 rue Gontier-Patin",French,HardouinRouze@superrito.com,05.59.90.25.25,79.9,Visa,4929632350945796,563,7/2017,"1992 Oldsmobile 88"
94,Jennifer,Herzog,4/11/1991,"Leopoldstraße 91",German,JenniferHerzog@armyspy.com,"030 65 59 34",57.8,Visa,4916500163065828,946,3/2021,"2005 Ford Freestar"
100,Orva,Villeneuve,1/7/1970,"38 Rue de la Pompe",French,OrvaVilleneuve@armyspy.com,02.32.65.31.22,85.4,Visa,4929320125223935,807,9/2017,"2005 Nissan X-Trail"
96,Klaudia,Peters,7/27/1993,"Hermannstrasse 61",German,KlaudiaPeters@cuvox.de,"06232 35 04 70",49.1,MasterCard,5497845242942636,322,8/2019,"2009 Chrysler 300"
102,Oliver,Labrie,5/12/1997,"46 rue de l'Epeule",French,OliverLabrie@fleckens.hu,03.68.99.96.54,78.6,Visa,4532558736592599,201,4/2018,"2015 Lexus LS 600h L"
103,Andrea,Hartmann,6/10/1969,"Motzstr. 55",German,AndreaHartmann@cuvox.de,"06735 68 57 75",83.7,MasterCard,5487338579728606,238,2/2019,"2015 Audi S7"
106,Suzette,Desaulniers,11/12/2001,"38 rue Banaudon",French,SuzetteDesaulniers@gustr.com,04.77.18.52.31,43.7,MasterCard,5507192555961343,019,9/2018,"2012 Holden Caprice"
104,Tim,Rothschild,1/28/1968,"Waldowstr. 53",German,TimRothschild@armyspy.com,"08022 83 19 04",80.6,Visa,4532862174614489,616,11/2021,"1992 Toyota Lite Ace"
111,Sophie,Pelchat,8/16/1951,"57 rue de l'Aigle",French,SophiePelchat@jourrapide.com,05.72.11.51.70,62.3,Visa,4716782912802410,462,8/2020,"2011 Nissan 370Z"
108,Juliane,Osterhagen,6/14/1961,"Joachimstaler Str. 95",German,JulianeOsterhagen@jourrapide.com,"06762 62 72 33",68.7,MasterCard,5420591883014051,960,11/2018,"2012 Infiniti G25"
114,Voleta,Langlais,10/3/1961,"99 rue Saint Germain",French,VoletaLanglais@cuvox.de,01.73.66.41.51,61.2,Visa,4532967045535258,697,3/2017,"2014 Jeep Patriot"
109,Uta,Bergmann,7/30/1960,"Gubener Str. 12",German,UtaBergmann@superrito.com,"08025 91 54 95",82.8,MasterCard,5337091764783801,219,10/2018,"2014 Audi A4"
115,Garland,Vertefeuille,7/2/1980,"66 Avenue des Pr'es",French,GarlandVertefeuille@rhyta.com,01.80.35.56.73,101.7,MasterCard,5193730702957844,811,6/2019,"2004 Acura RSX"
111,Nicole,Hertz,3/30/1941,"Spresstrasse 35",German,NicoleHertz@einrot.com,"0461 63 65 67",71.0,MasterCard,5171980525626532,320,8/2018,"1999 Toyota Solara"
120,Christophe,Beaupré,4/14/1962,"12 rue Victor Hugo",French,ChristopheBeaupre@fleckens.hu,01.13.22.43.97,93.6,MasterCard,5205478147787345,180,11/2020,"1997 Alpina B 12"
112,Andrea,Pfeifer,11/20/1944,"Luebeckertordamm 31",German,AndreaPfeifer@jourrapide.com,"09174 87 88 08",79.5,Visa,4929470384299355,752,8/2020,"2011 Ford Explorer"
122,Marmion,Parmentier,7/9/1958,"37 rue Cazade",French,MarmionParmentier@jourrapide.com,01.48.31.11.37,83.1,Visa,4556602482642017,379,4/2021,"2005 Nissan Maxima"
113,Thomas,Gruenewald,6/11/1978,"Alsterkrugchaussee 16",German,ThomasGruenewald@cuvox.de,"09122 19 78 02",108.8,Visa,4539298221438338,553,11/2020,"2007 Skoda Roomster"
125,Aubrey,Aupry,2/23/1975,"9 rue Charles Corbeau",French,AubreyAupry@jourrapide.com,01.40.94.17.94,77.6,MasterCard,5197886228746743,841,12/2017,"2004 Lotus Esprit"
116,Sandra,Kuster,12/31/1941,"Gotthardstrasse 63",German,SandraKuster@armyspy.com,"0371 76 92 52",81.2,Visa,4539157365454180,723,4/2020,"2001 Chevrolet Avalanche"
128,Emmeline,Moïse,2/10/1964,"38 Rue du Limas",French,EmmelineMoise@einrot.com,05.36.09.26.73,65.3,Visa,4532527560390586,529,11/2020,"1992 MG RV8"
118,Philipp,Baier,7/9/1997,"Knesebeckstraße 37",German,PhilippBaier@dayrep.com,"02378 59 35 42",51.9,Visa,4539936002080049,281,5/2019,"2010 Mitsubishi Colt"
130,Sabine,Beaulé,1/24/1980,"6 Rue St Ferréol",French,SabineBeaule@fleckens.hu,01.84.35.88.57,92.8,MasterCard,5239589186841742,486,11/2017,"2002 Volkswagen Microbus"
124,Anja,Weber,8/2/1930,"Jenaer Strasse 35",German,AnjaWeber@einrot.com,"0202 15 59 77",83.6,MasterCard,5201381200152528,442,3/2017,"2011 Ford Ranger"
131,Harbin,Clavet,1/25/1976,"95 Chemin Des Bateliers",French,HarbinClavet@einrot.com,04.84.21.38.93,71.6,MasterCard,5197543185263226,557,12/2020,"2009 BMW X5"
125,Sebastian,Bar,8/29/1992,"Billwerder Neuer Deich 20",German,SebastianBar@superrito.com,"09280 75 13 08",99.0,Visa,4916969479120884,647,10/2021,"1992 Peugeot 605"
132,Granville,Lapresse,9/17/1999,"17 Faubourg Saint Honoré",French,GranvilleLapresse@teleworm.us,01.98.54.12.68,78.6,Visa,4916565969486866,421,6/2018,"2004 Lincoln Mark X"
129,Manuela,Lowe,1/2/1968,"Augsburger Strasse 62",German,ManuelaLowe@rhyta.com,"02692 28 40 66",55.3,Visa,4929182426922825,572,6/2018,"2010 Fiat Croma"
136,Verrill,Rossignol,8/23/1962,"54 rue du Faubourg National",French,VerrillRossignol@armyspy.com,01.69.92.64.45,108.6,MasterCard,5494951873987974,884,6/2021,"1995 McLaren F1 GTR"
134,Andrea,Keller,9/23/1971,"Alt-Moabit 34",German,AndreaKeller@armyspy.com,"03385 25 03 35",73.2,MasterCard,5539450297263929,781,9/2017,"2002 Mitsubishi Montero"
137,Melisande,Deslauriers,3/5/1968,"72 rue du Château",French,MelisandeDeslauriers@armyspy.com,02.25.83.99.76,100.7,Visa,4716866573047793,425,8/2019,"2006 Suzuki XL7"
135,Uta,Nagel,5/29/1980,"Eichendorffstr. 93",German,UtaNagel@cuvox.de,"07531 10 99 03",61.8,Visa,4916475310959555,211,11/2020,"2003 Subaru B"
139,Jacques,Harquin,7/23/1980,"1 rue Cazade",French,JacquesHarquin@einrot.com,02.22.44.43.30,64.5,Visa,4532662026039269,323,5/2020,"2008 BMW M5"
136,Andreas,Mayer,3/24/1969,"Am Borsigturm 99",German,AndreasMayer@superrito.com,"02137 10 14 89",70.9,Visa,4916719810520056,842,8/2021,"2005 Suzuki X2"
141,Roch,Renaud,3/6/1999,"15 rue de la Hulotais",French,RochRenaud@rhyta.com,05.62.17.60.10,75.0,MasterCard,5332341016493245,321,5/2018,"2012 Volkswagen Touareg"
137,Sandra,Grunwald,12/2/1941,"Boxhagener Str. 95",German,SandraGrunwald@superrito.com,"040 90 47 07",97.3,Visa,4539931890105412,642,6/2021,"1998 Fiat Barchetta"
142,Sophie,Coulombe,12/14/1935,"20 cours Franklin Roosevelt",French,SophieCoulombe@einrot.com,04.35.95.25.07,67.0,MasterCard,5569307247220081,280,8/2021,"2001 Ferrari Maranello"
139,Barbara,Eberhart,5/4/1968,"Pasewalker Straße 83",German,BarbaraEberhart@einrot.com,"07222 87 37 50",102.7,MasterCard,5234842640687549,565,12/2017,"2005 BMW 520"
143,Thomas,Guibord,3/18/1984,"96 Place du Jeu de Paume",French,ThomasGuibord@armyspy.com,04.28.84.05.78,100.1,MasterCard,5114599559257558,523,12/2020,"1999 McLaren F1"
141,René,Bosch,5/16/1968,"Schillerstrasse 75",German,ReneBosch@teleworm.us,"08207 41 39 33",73.5,Visa,4916979788765568,078,12/2020,"2002 Volkswagen 1 Litre"
144,Juliette,Desnoyers,12/29/1948,"35 Avenue des Pr'es",French,JulietteDesnoyers@superrito.com,04.45.80.61.08,62.0,Visa,4916872300084354,240,2/2020,"2009 Mercedes-Benz B"
149,Jennifer,Jaeger,7/26/1972,"Karl-Liebknecht-Strasse 88",German,JenniferJaeger@dayrep.com,"04269 34 87 56",95.7,Visa,4929905452888431,960,10/2019,"2008 Toyota Celica"
146,Courtland,Neufville,5/20/1998,"37 rue du Président Roosevelt",French,CourtlandNeufville@armyspy.com,02.31.62.39.19,80.7,MasterCard,5164240855884139,527,7/2020,"1993 Audi Coupe"
150,Robert,Schuhmacher,9/2/1986,"Mollstrasse 50",German,RobertSchuhmacher@jourrapide.com,"06131 33 39 91",79.2,MasterCard,5348693507486332,407,10/2017,"2006 Nissan Frontier"
149,Agate,DuLin,12/9/1985,"32 route de Lyon",French,AgateDuLin@armyspy.com,03.39.46.37.96,51.5,MasterCard,5169990960360400,777,2/2019,"2006 Smart Roadster"
151,Johanna,Freytag,12/17/1967,"Gotzkowskystrasse 75",German,JohannaFreytag@armyspy.com,"02672 65 05 71",70.6,Visa,4916031243261377,604,11/2019,"1995 Ford Aerostar"
150,Orva,Mercure,1/8/1975,"36 rue Sadi Carnot",French,OrvaMercure@einrot.com,04.27.81.86.41,103.1,MasterCard,5128633107843215,313,6/2021,"1997 Dodge Copperhead"
153,Robert,Keller,4/3/1961,"Lange Strasse 91",German,RobertKeller@cuvox.de,"089 77 64 26",77.5,MasterCard,5501771615090460,208,4/2020,"2000 Saturn LS"
152,Brunella,Bourgeau,11/6/1957,"9 Boulevard de Normandie",French,BrunellaBourgeau@superrito.com,04.46.06.16.28,81.5,MasterCard,5232944855668776,272,2/2018,"2011 Nissan X-Trail"
163,Marcel,Amsel,5/17/1967,"Rathausstrasse 82",German,MarcelAmsel@teleworm.us,"0911 92 83 30",100.5,Visa,4556832646035192,922,4/2018,"1997 BMW 730"
156,Bayard,Bazinet,5/15/1947,"63 rue Léon Dierx",French,BayardBazinet@superrito.com,02.39.75.23.28,93.8,Visa,4929730647948076,642,3/2019,"2005 Mitsubishi eK"
164,Lukas,Saenger,4/27/1956,"Jenaer Strasse 27",German,LukasSaenger@rhyta.com,"0203 46 39 54",87.2,MasterCard,5362054080936964,307,2/2018,"2003 Audi A8"
160,Ferragus,Salmons,11/1/1950,"60 Quai des Belges",French,FerragusSalmons@dayrep.com,01.84.35.95.01,90.5,MasterCard,5151306781866394,209,2/2018,"1996 Daewoo Arcadia"
165,Michael,Busch,9/8/1977,"Rosenstrasse 96",German,MichaelBusch@fleckens.hu,"089 46 50 83",86.6,MasterCard,5438648843522290,172,7/2020,"1997 BMW 316"
165,Slainie,Raymond,7/12/1931,"20 rue Clement Marot",French,SlainieRaymond@rhyta.com,04.47.51.90.79,65.9,Visa,4929884039494593,698,2/2019,"1995 Porsche 928"
166,Jennifer,Peters,3/31/1967,"Güntzelstrasse 30",German,JenniferPeters@cuvox.de,"06504 43 93 81",95.7,MasterCard,5572387307427847,639,2/2020,"2010 Seat Ibiza"
166,Amitee,Lussier,8/26/1969,"55 Rue Roussy",French,AmiteeLussier@fleckens.hu,02.68.80.93.59,57.8,Visa,4916918165527407,624,8/2017,"2009 BMW 535"
167,Dominik,Schweizer,2/22/1930,"Alter Wall 56",German,DominikSchweizer@jourrapide.com,"09371 98 45 39",79.0,MasterCard,5361523090195614,219,2/2020,"1996 Daihatsu Mira"
167,Albracca,Lamoureux,11/19/1934,"78 Faubourg Saint Honoré",French,AlbraccaLamoureux@fleckens.hu,05.34.08.16.89,80.9,MasterCard,5305931422964095,028,4/2020,"1997 Nissan Rasheen"
168,Alexander,Eisenhower,6/23/1998,"Koenigstrasse 43",German,AlexanderEisenhower@superrito.com,"036376 88 54",61.9,Visa,4539234173797967,550,2/2018,"1993 Venturi Coupe"
169,Thierry,L'Hiver,3/25/1984,"64 rue des Chaligny",French,ThierryLHiver@teleworm.us,03.00.23.85.63,72.1,MasterCard,5340459354630747,575,11/2018,"2007 Suzuki Swift"
174,Thorsten,Brandt,1/3/1972,"Augsburger Straße 47",German,ThorstenBrandt@fleckens.hu,"02324 89 91 17",96.1,MasterCard,5363172688936126,940,9/2019,"2000 Chevrolet Blazer"
170,Chandler,Artois,8/20/1970,"43 rue Cazade",French,ChandlerArtois@cuvox.de,02.09.69.29.10,92.9,MasterCard,5417697603877175,066,1/2019,"2011 Volkswagen GTI"
176,Paul,Lehrer,5/21/1931,"Brandenburgische Str. 80",German,PaulLehrer@gustr.com,"07130 86 58 38",85.7,Visa,4485553530077969,303,11/2021,"2004 Subaru Baja"
180,Patricia,Asselin,2/11/1964,"70 Rue Marie De Médicis",French,PatriciaAsselin@dayrep.com,04.18.86.67.64,76.1,Visa,4929441382133193,208,4/2021,"1995 Buick Riviera"
177,Karin,Freytag,5/10/1996,"Rohrdamm 84",German,KarinFreytag@fleckens.hu,"05221 58 68 05",63.4,Visa,4716307622874002,755,7/2020,"2008 Renault Thalia"
189,Avril,Brochu,7/7/1994,"24 Avenue De Marlioz",French,AvrilBrochu@fleckens.hu,04.60.63.23.30,82.8,MasterCard,5330964263608447,645,6/2018,"2010 Lexus RX"
179,Simone,Schröder,12/30/1962,"Genslerstraße 84",German,SimoneSchroder@superrito.com,"030 99 49 30",66.4,Visa,4485238546634876,969,9/2017,"2008 Audi R8"
197,Ancelote,Abril,1/8/1961,"45 rue Clement Marot",French,AnceloteAbril@armyspy.com,01.60.81.79.83,69.3,Visa,4485768796808150,272,1/2020,"2000 Jaguar F-Type"
181,Eric,Zimmermann,5/11/1941,"Rudolstaedter Strasse 62",German,EricZimmermann@jourrapide.com,"06022 82 18 22",91.5,Visa,4929200182691317,235,8/2021,"1993 Daihatsu Feroza"
199,Marjolaine,Tougas,7/30/1961,"43 rue du Paillle en queue",French,MarjolaineTougas@cuvox.de,01.25.09.74.57,76.4,Visa,4556999506739211,595,1/2020,"2012 BMW 320"
185,Katja,Freitag,5/31/1999,"Schönwalder Allee 24",German,KatjaFreitag@rhyta.com,"04372 38 27 52",46.2,Visa,4916492304854775,174,3/2021,"1992 Subaru SVX"
203,Clarice,Duperré,4/10/1949,"46 boulevard d'Alsace",French,ClariceDuperre@superrito.com,04.23.91.93.90,101.3,Visa,4716931433877621,764,7/2021,"2010 Suzuki Alto"
